"","Reference.Number","Name","group","category","class","Feature.Easting","Feature.Northing","Positional.Accuracy.Code","Unique.Property.Reference.Number","Topographic.TOID","Topographic.TOID.Version","ITN.Easting","ITN.Northing","ITN.TOID","ITN.TOID.Version","Distance","Address.Detail","Street.Name","Locality","Geographic.County","Postcode","Verified.Address","Administrative.Boundary","Telephone.Number","URL","Brand","Qualifier.Type","Qualifier.Data","Provenance","Date.of.Supply"
"111062",49002796,"Pearl Technology Ltd",2,4,65,544729.2,184391,1,100055075,"0001000042433373",2,544719.9,184379.4,4000000030360786,5,14.9,"34","Cecil Avenue","Barking","Greater London","IG11 9TF","Y","Barking and Dagenham London Boro",2085070507,"","","","","118 Information","2015-03-01"
"111118",48918047,"Pop in Trading Ltd",9,47,699,543079.2,182865.4,1,46076870,"0001000042414973",3,543076.5,182878.4,4000000030427752,3,13.3,"42","Vicarage Lane","London","Greater London","E6 6DG","Y","Newham London Boro",2084723021,"","","","","118 Information","2015-03-01"
"111136",49005811,"A & G Newsagent",9,47,699,545778.9,184429,1,100050762,"0001000007377712",2,545762,184437,4000000030720595,3,18.7,"3 Gibbards Cottages","Upney Lane","Barking","Greater London","IG11 9LG","Y","Barking and Dagenham London Boro",2085941422,"","","","","118 Information","2015-03-01"
"111201",48956346,"Londis",9,47,699,550253.1,184888.1,1,100025182,"0001000000214823",4,550273,184888.2,4000000030365570,3,19.9,"627","Rainham Road South","Dagenham","Greater London","RM10 8AH","Y","Barking and Dagenham London Boro",2085956050,"www.londis.co.uk","Londis","","","118 Information","2015-03-01"
"111305",48940318,"Comics & Fantasy",9,48,827,551367.9,188401.3,1,100023210991,"0001000000292323",2,551375.6,188384.3,4000000030366428,2,18.7,"10","Atlanta Boulevard","Romford","Greater London","RM1 1TB","Y","Havering London Boro",1708748891,"www.comicsandfantasy.com","","","","118 Information","2015-03-01"
"111415",48938871,"The Vicarage Fields Shopping Centre",9,48,708,544457,184174,1,NA,"0001000007191445",5,544413.3,184098.2,4000000031272145,1,87.5,"Vicarage Field","Ripple Road","Barking","Greater London","IG11 8DQ","N","Barking and Dagenham London Boro",2082707100,"www.vicfield.co.uk","","","","118 Information","2015-03-01"
"111731",48940078,"Iceland",9,47,667,549114.8,184777.8,1,100013785,"0001000000157630",3,549044.2,184795,4000000031211836,2,72.7,"258","Heathway","Dagenham","Greater London","RM10 8QS","Y","Barking and Dagenham London Boro",2085933722,"www.iceland.co.uk","Iceland","","","118 Information","2015-03-01"
"112089",48826323,"Accord Electrical Wholesalers Ltd",9,48,680,548253.6,188044.8,1,10002170367,"0001000000124105",3,548250.7,188065.9,4000000030258935,2,21.3,"144-146","High Road","Romford","Greater London","RM6 6NT","Y","Barking and Dagenham London Boro",2085978080,"","","","","118 Information","2015-03-01"
"112310",48984810,"Flaxten Cards",9,48,717,552533.4,185828,1,10033421293,"0001000000342433",3,552527,185845.1,4000000030262981,4,18.3,"11","Broadway Parade","Hornchurch","Greater London","RM12 4RS","Y","Havering London Boro",1708451793,"","","","","118 Information","2015-03-01"
"112324",49011248,"Booker Ltd",9,47,768,548593.1,187523.4,1,100091328,"0001000000118220",8,548599,187580,4000000030103535,2,56.9,"","Selinas Lane","Dagenham","Greater London","RM8 1HT","Y","Barking and Dagenham London Boro",2085927839,"www.booker.co.uk","Booker","","","118 Information","2015-03-01"
"112478",48934872,"Front Page",9,47,699,546275.9,180793.3,1,10010194771,"0001000007457497",5,546319.8,180844.8,4000000030245022,3,67.7,"2a","Joyce Dawson Way","London","Greater London","SE28 8RA","Y","Greenwich London Boro",2083107119,"","","","","118 Information","2015-03-01"
"112508",49131255,"Mehak Grill House",1,2,43,546334.1,187394.3,1,10034916118,"0001000007473553",4,546326.7,187413.7,4000000030257474,2,20.8,"786a","High Road","Ilford","Greater London","IG3 8TH","Y","Redbridge London Boro",2085997863,"","","Restaurant Type","Restaurant","118 Information","2015-03-01"
"112523",48966500,"Fresh & Exotic",9,47,669,548071.3,188005.2,1,100013260,"0001000000123703",6,548066.2,188023.3,4000000030258932,3,18.8,"96","High Road","Romford","Greater London","RM6 6NX","Y","Barking and Dagenham London Boro",2085999898,"","","","","118 Information","2015-03-01"
"112737",48886039,"Smart Or Shaggy Pet Groomers",5,26,316,552139.6,184702.3,1,100021353338,"0001000000338616",2,552162.3,184696.5,4000000030159550,2,23.5,"125a","Mungo Park Road","Rainham","Greater London","RM13 7PP","Y","Havering London Boro",1708522229,"","","","","118 Information","2015-03-01"
"112808",49738352,"Lions Den Gym",4,24,293,546864,187664,1,100023217755,"0001000007471493",2,546886.1,187606.8,4000000030156758,7,61.3,"891","High Road","Romford","Greater London","RM6 4HR","N","Redbridge London Boro",2085982300,"www.ldgfitnesscentre.com","","","","118 Information","2015-03-01"
"112912",49008132,"Lesley's Barking Cards",9,48,725,543926.5,183742.3,1,100057402,"0001000042416119",5,543934.5,183755.6,4000000030256516,6,15.5,"The Old Granary","Town Quay","Barking","Greater London","IG11 7AZ","Y","Barking and Dagenham London Boro",2085941327,"","","","","118 Information","2015-03-01"
"112939",48935602,"A N R News & Convenience Store",9,47,699,550297.1,184884.5,1,100025171,"0001000000215384",3,550279.5,184887.7,4000000031159301,1,17.9,"2 Beadles Parade","Rainham Road South","Dagenham","Greater London","RM10 8YL","Y","Barking and Dagenham London Boro",2085924892,"","","","","118 Information","2015-03-01"
"114408",49733403,"Gold's Gym",4,24,293,549970.1,185603.5,1,100025135,"1000001811160421",2,550017,185627,4000000030159641,5,52.5,"Sterling Industrial Estate","Rainham Road South","Dagenham","Greater London","RM10 8TX","Y","Barking and Dagenham London Boro",2085935000,"www.goldsgym.co.uk","Gold's Gym","","","118 Information","2015-03-01"
"114417",48804433,"M K Carpets",9,48,675,543887.5,185661.8,1,100023044047,"0001000007106783",2,543903.2,185667.3,4000000030360979,2,16.6,"192","Ilford Lane","Ilford","Greater London","IG1 2LJ","Y","Redbridge London Boro",2085140442,"","","","","118 Information","2015-03-01"
"114832",48851341,"Homestyle Furnishings",9,48,682,542692.5,183615.6,1,46003792,"0001000041883461",3,542696.4,183598.7,4000000030255793,3,17.3,"413","Barking Road","London","Greater London","E6 2JT","Y","Newham London Boro",2084728969,"","","","","118 Information","2015-03-01"
"114860",48793391,"Tahitian Noni Juice I P C",7,40,529,543797.4,185623.9,1,100022228674,"0001000007106801",2,543791.9,185636.9,4000000030156471,3,14.1,"21","Natal Road","Ilford","Greater London","IG1 2HA","Y","Redbridge London Boro",8000740836,"www.tahitinaturalhealth.com","","","","118 Information","2015-03-01"
"114865",48834655,"London Plumbing & Heating Supplies",9,48,680,543075.1,183694.2,1,10008983707,"0001000042416849",3,543077.3,183675.9,4000000030255817,3,18.4,"531-533","Barking Road","London","Greater London","E6 2LN","Y","Newham London Boro",2084700555,"","","","","118 Information","2015-03-01"
"114910",49868637,"Concept Living Ltd",9,48,682,543886,183466,1,100102584,"0001000042417595",3,543907.2,183436.2,4000000030256494,3,36.5,"Freshwharf","Highbridge Road","Barking","Greater London","IG11 7BG","N","Barking and Dagenham London Boro",2085913803,"","","","","118 Information","2015-03-01"
"114955",49726686,"Loxford Social Club",4,25,314,545161.9,185450.8,1,100102684,"0001000007382581",2,545181,185446.2,4000000031152829,2,19.7,"104","South Park Drive","Ilford","Greater London","IG3 9AU","Y","Barking and Dagenham London Boro",2085981850,"","","","","118 Information","2015-03-01"
"115003",49865151,"Nibbles",9,47,699,544405,184343,1,NA,"0001000007191447",6,544429,184324.5,4000000031108360,3,30.3,"Unit 7","Station Parade","Barking","Greater London","IG11 8TU","Y","Barking and Dagenham London Boro",2085949263,"","","","","118 Information","2015-03-01"
"115297",49755865,"Barking Football Club (1980) Ltd",6,35,447,546577,185299,1,NA,"0001000007466463",3,546637.2,185282.5,4000000031279082,2,62.4,"Mayesbrook Park","Lodge Avenue","Dagenham","Greater London","RM8 2JR","N","Barking and Dagenham London Boro",2085933539,"","","","","118 Information","2015-03-01"
"115300",49845470,"Collier Row Glass",9,48,680,549174.2,190998.3,1,100023217405,"0001000000173610",4,549165,190976.9,5000005100662990,1,23.3,"10","Hog Hill Road","Romford","Greater London","RM5 2DH","Y","Havering London Boro",1708748151,"www.collierrowglass.co.uk","","","","118 Information","2015-03-01"
"115336",54391485,"Forest Joinery",2,3,45,545615,182439,1,NA,"0001000007371557",4,545546.6,182414.5,4000000030150101,2,72.7,"Unit 18 Creekmouth Industrial Estate","57 River Road","Barking","Greater London","IG11 0DA","N","Barking and Dagenham London Boro",2085946414,"","","","","118 Information","2015-03-01"
"115338",54395607,"McLean",2,3,45,542941.1,183190.7,1,46079312,"0001000041886578",5,542927.7,183187.2,4000000030255779,2,13.8,"141","Wellington Road","London","Greater London","E6 6EB","Y","Newham London Boro",2085523928,"","","","","118 Information","2015-03-01"
"115373",54372584,"Delmer Precision Ltd",2,3,44,551172.5,188261.4,1,100023219190,"0001000000292242",2,551194.9,188281.3,4000000030465533,2,30,"8","Bridge Close","Romford","Greater London","RM7 0AU","Y","Havering London Boro",1708764819,"","","","","118 Information","2015-03-01"
"115431",49868448,"Jash Supplies Ltd",9,47,768,545843.8,182152.8,1,100047741,"0001000007371593",2,545663.6,182088.3,4000000030100556,9,191.4,"Unit 35  77-87 Trafalgar Business Centre","River Road","Barking","Greater London","IG11 0JU","Y","Barking and Dagenham London Boro",2085915001,"","","","","118 Information","2015-03-01"
"115447",49760865,"St Chads Park",3,18,814,547786,188391,1,NA,"1000001811278988",2,547787.3,188257.5,4000000030596652,5,133.5,"Alexandra Road","","Romford","Greater London","RM6 6JD","N","Barking and Dagenham London Boro",2085908665,"","","","","118 Information","2015-03-01"
"115448",49848259,"F E Moss Glass",9,48,680,546806.1,187021.7,1,100023050463,"5000005124584676",1,546804.6,187036.7,4000000030257460,2,15.1,"678","Green Lane","Ilford","Greater London","IG3 9RX","Y","Redbridge London Boro",2085905180,"","","","","118 Information","2015-03-01"
"115631",49863398,"Simply Heavenly Foods",7,40,530,549695.6,187821.4,1,100023218787,"0001000000167548",2,549692.4,187720.1,4000000031179516,3,101.4,"156","Crow Lane","Romford","Greater London","RM7 0ES","Y","Havering London Boro",1708750006,"www.simplyheavenlyfoods.co.uk","","","","118 Information","2015-03-01"
"115700",48839093,"Window Fitters Mate Ltd",9,48,680,551439.2,187994.7,1,200002672203,"0001000000287482",4,551426,188000,4000000030160133,5,14.2,"Unit A2 Seedbed Centre","Davidson Way","Romford","Greater London","RM7 0AZ","Y","Havering London Boro",1708734345,"www.wfm.co.uk","Window Fitters Mate","","","118 Information","2015-03-01"
"115722",49872595,"M I M Superstore",9,47,699,543884.9,185767.4,1,100023043902,"0001000007107023",3,543867.7,185761.1,4000000030360982,2,18.3,"191a","Ilford Lane","Ilford","Greater London","IG1 2RU","Y","Redbridge London Boro",2089118801,"","","","","118 Information","2015-03-01"
"115755",54390567,"K 2 Builders Ltd",2,3,45,548676.2,190429.6,1,100091186,"0001000000126345",2,548568.1,190525.6,4000000030263880,4,144.6,"Unit 10  Northgate Industrial Park","Collier Row Road","Romford","Greater London","RM5 2BG","Y","Barking and Dagenham London Boro",8443723039,"","","","","118 Information","2015-03-01"
"115831",54283642,"Kebabish Green Lane Ltd",1,2,18,547144.5,187011.8,1,100012007,"0001000000063503",2,547138,186992.8,4000000030361296,3,20.1,"23 Rowallen Parade","Green Lane","Dagenham","Greater London","RM8 1XU","Y","Barking and Dagenham London Boro",2085905577,"","","","","118 Information","2015-03-01"
"116077",49867933,"The Bridge Tandoori",1,2,18,549955.4,191141.3,1,100023217678,"0001000000176832",2,549949,191169,4000000030431287,4,28.4,"4","Chase Cross Road","Romford","Greater London","RM5 3PR","Y","Havering London Boro",1708741188,"","","","","118 Information","2015-03-01"
"116271",21046735,"Barking Citizens Advice Bureau",5,29,358,544495.7,183970.2,1,100047420,"1000001809988822",5,544479.3,183960.8,4000000030427998,4,18.9,"55","Ripple Road","Barking","Greater London","IG11 7NT","Y","Barking and Dagenham London Boro",2085946715,"","","","","National Association of Citizens Advice Bureaux","2015-03-01"
"117351",49866015,"Ripple Food & Wine",9,47,699,545812.4,183928.3,1,100047588,"0001000007372304",2,545811.5,183954,4000000030156265,3,25.7,"496","Ripple Road","Barking","Greater London","IG11 9RY","Y","Barking and Dagenham London Boro",2085941674,"","","","","118 Information","2015-03-01"
"117384",54428271,"J & G Electrical Services Ltd",2,3,51,549643.8,185607,1,100051275,"0001000000160006",2,549613.3,185605.3,4000000031179609,3,30.5,"Unit 6 Pollyte Works","Wantz Road","Dagenham","Greater London","RM10 8PS","Y","Barking and Dagenham London Boro",2089849941,"","","","","118 Information","2015-03-01"
"117681",54283291,"K G M P Ltd",2,8,117,546937.1,181130.8,1,10010195066,"1000001811117499",1,546954.7,181136.6,4000000030717466,4,18.5,"156","Greenhaven Drive","London","Greater London","SE28 8FU","Y","Greenwich London Boro",7956975877,"","","","","118 Information","2015-03-01"
"117834",54386070,"T S L Property Maintenance",2,3,45,549003.6,191143.2,1,100021376511,"0001000000178406",4,549023.5,191134.8,4000000030160288,2,21.6,"5","Hamlet Road","Romford","Greater London","RM5 2DS","Y","Havering London Boro",1708732583,"","","","","118 Information","2015-03-01"
"118064",49736996,"The Royal British Legion",4,25,314,552703,185549.2,1,100023214098,"0001000000341475",3,552687.3,185597,4000000030262992,6,50.3,"35a","Maylands Avenue","Hornchurch","Greater London","RM12 5BB","Y","Havering London Boro",1708452074,"www.britishlegion.org.uk","The Royal British Legion","","","118 Information","2015-03-01"
"118982",54459035,"R J Electrics Ltd",2,3,51,550421.8,184566.7,1,100069479,"0001000000215314",2,550423.5,184583.5,4000000030159466,5,16.9,"28","Manor Road","Dagenham","Greater London","RM10 8AU","Y","Barking and Dagenham London Boro",2085959990,"www.rjelectrics.co.uk","","","","118 Information","2015-03-01"
"119134",54542141,"Phoenix Total Security",2,4,71,548649.4,186137.3,1,100035260,"0001000000117288",2,548656.8,186118.4,4000000030159618,3,20.3,"297","Wood Lane","Dagenham","Greater London","RM8 3NH","Y","Barking and Dagenham London Boro",2085967920,"www.phoenix-total-security.com","","","","118 Information","2015-03-01"
"120538",54487795,"Exigence Group Ltd",2,3,56,544159.2,184860,1,100100682,"0001000042432478",5,544143.4,184881.8,4000000030102504,2,26.9,"2","Victoria Road","Barking","Greater London","IG11 8PY","Y","Barking and Dagenham London Boro",2082212199,"","","","","118 Information","2015-03-01"
"120607",54518667,"Unique Environmental Services Ltd",2,13,204,551513.6,187955.6,1,200002671980,"0001000000287095",2,551426,188000,4000000030160133,5,98.2,"Unit D/12 Seedbed Centre","Davidson Way","Romford","Greater London","RM7 0AZ","Y","Havering London Boro",1708757996,"www.unique-envs.com","","","","118 Information","2015-03-01"
"120654",54489023,"L C Construction",2,3,55,551434.5,186720.3,1,100064422,"0001000000285728",3,551404,186729,4000000031100231,2,31.7,"165","Great Cullings","Romford","Greater London","RM7 0YR","Y","Barking and Dagenham London Boro",2085969723,"","","","","118 Information","2015-03-01"
"120684",54574031,"Senor Engineering Co Ltd",2,6,93,550188.4,187846.9,1,NA,"0001000000220772",2,550209.5,187850.6,4000000030160054,5,21.4,"2b","Bernard Road","Romford","Greater London","RM7 0HX","Y","Havering London Boro",1708763916,"","","","","118 Information","2015-03-01"
"120881",54435850,"Cristal Insulations Ltd",2,3,46,546358.4,187318,1,10034921737,"0001000007473497",3,546371.2,187317,4000000030156752,3,12.8,"48","Goodmayes Road","Ilford","Greater London","IG3 9UR","Y","Redbridge London Boro",2085970442,"","","","","118 Information","2015-03-01"
"121073",54470148,"Cassells Tree Care",2,3,52,547737.8,183911.8,1,100046728,"0001000000046643",2,547740,183927,4000000030156389,4,15.4,"50","Romsey Road","Dagenham","Greater London","RM9 6BL","Y","Barking and Dagenham London Boro",2085920718,"","","","","118 Information","2015-03-01"
"121090",54475173,"Speedy Glaze & Locks Ltd",2,3,53,543293.4,185824.5,1,46090622,"0001000007108379",3,543291.7,185840.5,4000000030360478,4,16.1,"10","Sally Murray Close","London","Greater London","E12 5NX","Y","Newham London Boro",8002795178,"","","","","118 Information","2015-03-01"
"121100",54661912,"Enterprise Rent-A-Car",2,60,113,550068.4,189238,1,100023219487,"0001000000229353",3,550086.1,189241.9,4000000030366375,3,18.2,"161","Mawney Road","Romford","Greater London","RM7 8BX","Y","Havering London Boro",1708755755,"www.enterprise.co.uk","Enterprise Rent-A-Car","","","118 Information","2015-03-01"
"121104",54659956,"Simple Self Drive",2,60,113,543204.3,183715.7,1,10008983710,"0001000042416816",3,543210.8,183678,5000005130019796,1,38.3,"567-585","Barking Road","London","Greater London","E6  2LW","Y","Newham London Boro",2084715040,"www.simpleselfdrive.co.uk","","","","118 Information","2015-03-01"
"121193",54479455,"Robert Falaise Plumbing & Heating",2,3,56,545840.8,183982.3,1,100047679,"0001000007372325",2,545842.7,183955.2,4000000030156265,3,27.2,"481","Ripple Road","Barking","Greater London","IG11 9QZ","Y","Barking and Dagenham London Boro",7973460571,"","","","","118 Information","2015-03-01"
"121243",54668836,"Chadwell Flooring",9,48,680,548506.9,188347.3,1,100063348,"0001000000123613",3,548512.4,188330.3,4000000030263478,2,17.9,"1b","Whalebone Grove","Romford","Greater London","RM6 6BU","Y","Barking and Dagenham London Boro",7989438199,"www.chadwell-flooring.co.uk","","","","118 Information","2015-03-01"
"121249",54640861,"T T C Management Services Ltd",2,10,158,549579.8,183414.1,1,10091834478,"0001000000155923",2,549595.1,183401.7,4000000030365418,4,19.7,"196","Ballards Road","Dagenham","Greater London","RM10 9AB","N","Barking and Dagenham London Boro",1708524083,"","","","","118 Information","2015-03-01"
"121360",54655582,"Lacey's Coaches Ltd",2,60,113,549264.9,191371.5,1,100021400366,"0001000041243910",2,549268.3,191389.5,4000000030263905,2,18.3,"251","Turpin Avenue","Romford","Greater London","RM5 2PR","Y","Havering London Boro",1708736905,"","","","","118 Information","2015-03-01"
"121585",54497008,"Phil Joyce Plasterer",2,3,55,551998.6,185380.4,1,100021341445,"0001000000284121",4,552003.1,185397.2,4000000030159732,2,17.4,"252","St. Andrews Avenue","Hornchurch","Greater London","RM12 5EB","Y","Havering London Boro",1708471630,"","","","","118 Information","2015-03-01"
"121597",54641560,"B C Digger Hire",2,60,99,552395.1,184842.8,1,100021356571,"0001000000339389",5,552382.2,184829.7,4000000030262663,2,18.5,"27","Tempest Way","Rainham","Greater London","RM13 7PX","Y","Havering London Boro",1708552905,"","","","","118 Information","2015-03-01"
"121645",54589121,"Future Force",2,5,78,547854.6,187938.4,1,100013053,"0001000000060887",4,547849.7,187955.2,4000000030258931,4,17.5,"32","High Road","Romford","Greater London","RM6 6PR","Y","Barking and Dagenham London Boro",2085903445,"www.future-force.co.uk","","","","118 Information","2015-03-01"
"121731",54474646,"Almpic Windows & Doors",9,48,680,544192.1,184779.7,1,100091750,"0001000042432201",4,544206.2,184776.5,4000000030360765,3,14.4,"8 The Triangle","Tanner Street","Barking","Greater London","IG11 8QA","Y","Barking and Dagenham London Boro",2085917733,"","","","","118 Information","2015-03-01"
"121745",54517473,"Healthcare Environmental Services Ltd",2,4,63,546022,181853,1,NA,"0001000007458566",4,546097.6,181863.3,4000000030150140,4,76.3,"Unit 16","Buzzard Creek Industrial Estate","Barking","Greater London","IG11 0EL","N","Barking and Dagenham London Boro",2085945972,"","","","","118 Information","2015-03-01"
"121971",54631840,"Computer Resale",9,48,828,544456.8,184048.1,1,100091718,"0001000007191118",3,544437.9,184035.7,4000000030360596,4,22.6,"29","Ripple Road","Barking","Greater London","IG11 7NT","Y","Barking and Dagenham London Boro",2085943181,"","","","","118 Information","2015-03-01"
"122018",54637629,"Nu Kleen Services Ltd",2,7,100,543560,184241.6,1,100057313,"0001000042419555",5,543519.9,184217.7,4000000030102500,5,46.7,"Unit 2 Abbey Works","Hertford Road","Barking","Greater London","IG11 8BL","Y","Barking and Dagenham London Boro",2085940800,"www.nukleen.com","","","","118 Information","2015-03-01"
"122170",54665029,"Complete Data Processing Services",2,8,119,552338.1,185584,1,100021341300,"0001000000342612",2,552334.1,185596.7,4000000030103554,2,13.3,"75","St. Andrews Avenue","Hornchurch","Greater London","RM12 5DU","Y","Havering London Boro",1708780914,"","","","","118 Information","2015-03-01"
"122362",54481702,"Arco Heating Company",2,3,56,549128.9,191155.6,1,100021376499,"0001000000178357",2,549120.1,191136.4,4000000030263903,2,21.1,"2","Hamlet Close","Romford","Greater London","RM5 2DT","Y","Havering London Boro",1708741617,"","","","","118 Information","2015-03-01"
"123487",54746636,"Lloyds Bank",2,9,138,549526.3,185757.3,1,100022971,"0001000000160086",2,549534,185777.9,4000000031279078,1,22,"254-256","Oxlow Lane","Dagenham","Greater London","RM10 7YX","Y","Barking and Dagenham London Boro",8.453e+09,"www.lloydsbank.com","Lloyds","","","118 Information","2015-03-01"
"123526",54600028,"U R A Products LLP",2,6,88,548243,187408,1,100009824,"0001000000121185",3,548190.1,187509,4000000031179825,2,114,"Unit D","Coppen Road","Dagenham","Greater London","RM8 1HJ","Y","Barking and Dagenham London Boro",2085922999,"","","","","118 Information","2015-03-01"
"123600",54760595,"Cosco",2,15,223,544529.6,184064.2,1,100091576,"0001000042433646",4,544484,184081,4000000030360602,5,48.6,"Cosco House","Vicarage Drive","Barking","Greater London","IG11 7NA","Y","Barking and Dagenham London Boro",2085948688,"www.coscon.co.uk","","","","118 Information","2015-03-01"
"123710",54770476,"Michael Robinson Associates",2,9,147,545599,186401.1,1,100022227976,"0001000007385636",4,545592.7,186419.2,4000000030102584,3,19.2,"18","Morrab Gardens","Ilford","Greater London","IG3 9HL","Y","Redbridge London Boro",2085901232,"","","","","118 Information","2015-03-01"
"123786",54755849,"Swinton Insurance",2,9,149,548888.6,187183.3,1,100032566,"0001000000120438",3,548867.2,187177.3,4000000031043404,1,22.2,"58","Whalebone Lane South","Dagenham","Greater London","RM8 1BB","Y","Barking and Dagenham London Boro",2089847414,"www.swinton.co.uk","Swinton","","","118 Information","2015-03-01"
"123828",54605431,"Fiteasy Services Ltd",2,6,88,545758,181824,1,10023597493,"0001000007370859",2,545788.8,181847.4,4000000030100556,9,38.7,"72-76","River Road","Barking","Greater London","IG11 0DS","Y","Barking and Dagenham London Boro",2085910588,"","","","","118 Information","2015-03-01"
"123865",54501436,"Lucas Heating Ltd",2,3,56,547278.5,187171.3,1,10034916507,"0001000000063553",4,547284.7,187153.3,4000000030257513,2,19.1,"77","Mayfield Road","Dagenham","Greater London","RM8 1XR","Y","Redbridge London Boro",2085971511,"","","","","118 Information","2015-03-01"
"124032",54608010,"Benson Sedgwick Engineering Ltd",2,6,88,548688.5,187517,1,100091326,"0001000000118227",9,548673,187584,4000000030103535,2,68.8,"","Selinas Lane","Dagenham","Greater London","RM8 1QE","Y","Barking and Dagenham London Boro",2085930212,"www.benson-sedgwick.co.uk","","","","118 Information","2015-03-01"
"124146",54624782,"Bluey",2,60,99,551871.9,188331.4,1,100021358492,"0001000000291483",3,551888.3,188339.5,4000000030103749,3,18.3,"76","Albert Road","Romford","Greater London","RM1 2PP","Y","Havering London Boro",1708474940,"","","","","118 Information","2015-03-01"
"124278",54771151,"F Barnes Solicitors",2,9,154,549977.9,191160.6,1,100023217447,"0001000000176823",2,549967,191179,4000000030431287,4,21.4,"14","Chase Cross Road","Romford","Greater London","RM5 3PS","Y","Havering London Boro",1708743727,"www.fbarnes.co.uk","","","","118 Information","2015-03-01"
"124317",54861505,"Euro Dry Cleaning",2,10,158,546338.6,186491.8,1,100022214419,"0001000007470457",2,546323,186491.8,4000000030257307,2,15.6,"105","Goodmayes Lane","Ilford","Greater London","IG3 9PL","Y","Redbridge London Boro",2085989955,"","","","","118 Information","2015-03-01"
"124457",54781813,"Ifrahim Solicitors",2,9,154,544098.2,185001.2,1,100022220575,"0001000007194302",7,544114.8,185006.7,4000000030256654,3,17.5,"468","Ilford Lane","Ilford","Greater London","IG1 2NF","Y","Redbridge London Boro",2089119222,"","","","","118 Information","2015-03-01"
"124488",54791892,"Daryl Phillips",2,9,150,543972.5,185530.7,1,100023044394,"0001000007107145",3,543953.9,185524.2,4000000030256944,2,19.7,"269","Ilford Lane","Ilford","Greater London","IG1 2SD","Y","Redbridge London Boro",2084770912,"","","","","118 Information","2015-03-01"
"124520",54867065,"The Tattoo Shak",2,10,180,549953.5,191092.3,1,100023217540,"0001000000176800",2,549930.4,191087,4000000030431284,6,23.7,"314A","Collier Row Lane","Romford","Greater London","RM5 3NL","Y","Havering London Boro",1708739330,"","","","","118 Information","2015-03-01"
"124538",54859240,"Hot Pants",2,10,158,550294.1,184850.7,1,100091685,"0001000000215392",3,550271.8,184853.1,4000000030262463,4,22.4,"8 Beadles Parade","Rainham Road South","Dagenham","Greater London","RM10 8YL","Y","Barking and Dagenham London Boro",2085926520,"www.hotpants.yolasite.com","","","","118 Information","2015-03-01"
"124564",54744083,"Lloyds Bank",2,9,138,544341.6,184220,1,100060412,"0001000007191192",4,544355.5,184208.5,5000005111018026,1,18.1,"11","Station Parade","Barking","Greater London","IG11 8ED","Y","Barking and Dagenham London Boro",8.453e+09,"www.lloydsbank.com","Lloyds","","","118 Information","2015-03-01"
"124832",54630670,"Civil Engineers Ltd",2,6,85,546170.5,187492.5,1,100022222573,"0001000007473686",3,546153.2,187495.5,4000000030102650,8,17.5,"22","Kingswood Road","Ilford","Greater London","IG3 8UE","Y","Redbridge London Boro",2085981998,"www.cengineers.co.uk","","","","118 Information","2015-03-01"
"124852",54613566,"W Hardings Skip Hire",2,60,99,550224.1,187395.5,1,100021386956,"0001000000222465",2,550220,187413.5,4000000030159717,2,18.5,"18","Meadow Road","Romford","Greater London","RM7 0LP","Y","Havering London Boro",2089840833,"","","","","118 Information","2015-03-01"
"124918",54785209,"R J Barbers",2,10,156,547642,187904.1,1,10013585790,"0001000000060984",3,547650.2,187884.7,4000000030258905,2,21.1,"1199","High Road","Romford","Greater London","RM6 4AL","Y","Redbridge London Boro",2085998666,"","","","","118 Information","2015-03-01"
"126322",54862503,"Rosie's Ironing",2,10,158,549515.1,190764.3,1,100021392941,"0001000000173136",2,549516.6,190752,4000000030263898,3,12.4,"13","Raider Close","Romford","Greater London","RM7 8PJ","Y","Havering London Boro",8009562346,"","","","","118 Information","2015-03-01"
"126333",54724712,"Chegwidden Company Chartered Accountants",2,9,135,546792.4,188141.8,1,10034923180,"0001000007474672",4,546786.8,188126.4,4000000030258871,2,16.4,"Priestley House","Priestley Gardens","Romford","Greater London","RM6 4SN","Y","Redbridge London Boro",2085972531,"www.chegwidden.uk.com","","","","118 Information","2015-03-01"
"126643",54857620,"David Moorcroft Professional Dry Cleaners",2,10,158,550894.8,187285.9,1,100007519,"0001000000221085",2,550916.5,187284.9,4000000030103542,7,21.8,"120","Dagenham Road","Romford","Greater London","RM7 0TJ","Y","Barking and Dagenham London Boro",1708740773,"","","","","118 Information","2015-03-01"
"126900",54728804,"G I G & Co Chartered Certified Accountants",2,9,135,544354.8,184963.1,1,100022232109,"0001000042432450",5,544329,184978.6,5000005128708013,1,30.1,"92","Pittman Gardens","Ilford","Greater London","IG1 2QD","Y","Redbridge London Boro",2085925108,"","","","","118 Information","2015-03-01"
"126905",54713905,"D S J Consulting Ltd",2,8,126,547253,187626.7,1,100022276095,"0001000000062167",3,547263,187623,4000000031179651,2,10.7,"98","Burns Avenue","Chadwell Heath, Romford","Greater London","RM6 4DG","Y","Redbridge London Boro",2085991816,"","","","","118 Information","2015-03-01"
"126991",54862170,"5 Star Dry Cleaners",2,10,158,547627.8,187896.9,1,10023192599,"0001000000060987",3,547635.5,187878.5,4000000030258905,2,20,"1191","High Road","Romford","Greater London","RM6 4AL","Y","Redbridge London Boro",2085971535,"","","","","118 Information","2015-03-01"
